binary_name,dependency_name
RPMPackageManager,libsocket.so.3
RPMPackageManager,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
RPMPackageManager,libwdgadapter.so.1
RPMPackageManager,libheartbeat.so.3
RPMPackageManager,libcpp-ne.so.4
RPMPackageManager,libc.so.3
rrl_checker,libsrm_client.so
rrl_checker,libsrm_client_cmd.so
rrl_checker,libc.so.3
servicebroker,libcpp-ne.so.4
servicebroker,libc.so.3
setclockp,libsrm_client.so
setclockp,libsrm_client_cmd.so
setclockp,libc.so.3
setthreadprio,libsrm_client.so
setthreadprio,libsrm_client_cmd.so
setthreadprio,libc.so.3
showmem-srm,libsrm_client.so
showmem-srm,libsrm_client_cmd.so
showmem-srm,libc.so.3
simload,libsrm_client.so
simload,libsrm_client_cmd.so
simload,libc.so.3
slogspy,libsrm_client.so
slogspy,libsrm_client_cmd.so
slogspy,libc.so.3
snoopy,libsrm_client.so
snoopy,libsrm_client_cmd.so
snoopy,libc.so.3
someip_enhtestability_server,libsocket.so.3
someip_enhtestability_server,libcpp-ne.so.4
someip_enhtestability_server,libc.so.3
someip_sddaemon,libsocket.so.3
someip_sddaemon,libcpp-ne.so.4
someip_sddaemon,libc.so.3
srm,libc.so.3
srm_ctrl,libsrm_client.so
srm_ctrl,libsrm_client_cmd.so
srm_ctrl,libc.so.3
srv_drivehandler,libsys_colibry.cpp-ne.so.7
srv_drivehandler,libsys_trace_clienttrace.cpp-ne.so.7
srv_drivehandler,libsys_dsi_trace.cpp-ne.so.6
srv_drivehandler,libsys_dsi_colibry.cpp-ne.so.8
srv_drivehandler,libsys_colibry_net.cpp-ne.so.7
srv_drivehandler,libsys_dsi_servicebroker.cpp-ne.so.4
srv_drivehandler,libsocket.so.3
srv_drivehandler,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
srv_drivehandler,libwdgadapter.so.1
srv_drivehandler,libheartbeat.so.3
srv_drivehandler,libcpp-ne.so.4
srv_drivehandler,libc.so.3
srv-hddmgr2,libsys_colibry.cpp-ne.so.7
srv-hddmgr2,libsys_colibry_net.cpp-ne.so.7
srv-hddmgr2,libsocket.so.3
srv-hddmgr2,libsys_trace_clienttrace.cpp-ne.so.7
srv-hddmgr2,libsys_dsi_colibry.cpp-ne.so.8
srv-hddmgr2,libsys_dsi_servicebroker.cpp-ne.so.4
srv-hddmgr2,libsys_dsi_trace.cpp-ne.so.6
